<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.07.09	08:00:00	2364.20	2371.55	2354.18	2354.98	48492	0	2
2024.07.09	16:00:00	2354.99	2365.67	2349.52	2364.48	28618	0	2
2024.07.10	00:00:00	2364.47	2372.84	2363.36	2371.99	29575	0	3
2024.07.10	08:00:00	2372.00	2386.73	2371.48	2374.97	43225	0	4
2024.07.10	16:00:00	2374.97	2381.39	2369.99	2372.86	24863	0	2
2024.07.11	00:00:00	2372.86	2383.30	2371.53	2381.91	28242	0	1
2024.07.11	08:00:00	2381.89	2418.00	2377.40	2417.82	57360	0	1
2024.07.11	16:00:00	2417.80	2424.61	2410.11	2414.13	34243	0	0
2024.07.12	00:00:00	2414.07	2416.34	2402.27	2404.20	35206	0	4
2024.07.12	08:00:00	2404.18	2410.94	2391.52	2409.03	55891	0	3
2024.07.12	16:00:00	2409.03	2418.33	2408.12	2411.11	23871	0	2
2024.07.14	16:00:00	2411.27	2412.24	2406.98	2407.65	3151	0	1
2024.07.15	00:00:00	2407.65	2413.97	2402.10	2403.29	33568	0	1
2024.07.15	08:00:00	2403.29	2431.95	2401.40	2431.65	53898	0	1
2024.07.15	16:00:00	2431.63	2439.66	2419.85	2421.05	35218	0	1
2024.07.16	00:00:00	2421.05	2433.93	2420.08	2433.93	32768	0	1
2024.07.16	08:00:00	2433.93	2454.13	2429.52	2452.14	62817	0	1
2024.07.16	16:00:00	2452.14	2470.01	2452.02	2469.08	34730	0	1
2024.07.17	00:00:00	2469.08	2482.41	2461.90	2466.45	51289	0	3
2024.07.17	08:00:00	2466.46	2483.72	2461.17	2463.72	73053	0	0
2024.07.17	16:00:00	2463.72	2465.96	2451.56	2459.28	35413	0	2
2024.07.18	00:00:00	2459.31	2472.19	2457.48	2471.54	43418	0	1
2024.07.18	08:00:00	2471.57	2474.98	2457.66	2468.48	57404	0	1
2024.07.18	16:00:00	2468.49	2469.11	2440.40	2444.45	34242	0	3
2024.07.19	00:00:00	2444.45	2445.24	2414.46	2420.00	52078	0	0
